832→40324,2
833→21313,116
834→37276,18
835→30053,2
836→31181,2
837→29942,12
838→32199,6
839→39571,6
840→25912,98
841→33279,8
842→28067,8
843→27813,2
844→30098,2
845→29989,4
846→25778,8
847→36961,2
848→20804,312
849→28255,4
850→31378,2
851→26935,2
852→29141,114
853→36995,8
854→37847,4
855→23649,6
856→39585,4
857→33883,18
858→35946,14
859→30408,24
860→34894,2
861→38665,4
862→32703,2
863→24666,2
864→21314,4
865→23443,2
866→30054,4
867→31186,2
868→26131,368
869→32531,8
870→40111,2
871→37043,4
872→38837,2
873→35370,2
874→26767,4
875→24030,28
876→40575,158
877→21542,8
878→40747,2
879→24202,6
880→32367,4
881→27487,4
882→30430,2
883→19972,102
884→28609,6
885→27641,2
886→33073,12
887→25324,4
888→36733,52
889→34632,2
890→27225,2
891→29522,2
892→23018,14
893→34893,44
894→23824,2
895→38662,4
896→40778,132
897→38450,12
898→39582,2
899→24833,2
900→29710,2
901→37840,20
902→21119,2
903→38808,2
904→29374,4
905→30259,8
906→35519,26
907→38206,4
908→33428,2
909→20803,136
910→28252,4
911→29380,24
912→22768,22
913→27814,4
914→23488,4
915→39320,6
916→36368,6
917→28404,2
918→22902,10
919→39576,6
920→25129,2
921→33870,2
922→25915,84
923→34269,24
924→32163,2
925→38459,2
926→21574,2
927→35346,6
928→27683,2
929→23011,4
930→35174,2
931→30406,16
932→26563,2
933→35948,10
934→21746,24
935→20694,12
936→35510,2
937→23475,46
938→26107,2
939→30062,12
940→32735,16
941→37247,2
942→21322,20
943→40127,2
944→32507,2
945→37075,4
946→35722,24
947→22795,2
948→31382,6
949→23481,14
950→29987,18
951→27021,2
952→30096,56
953→33613,2
954→25776,4
955→33421,2
956→36153,32
957→25120,130
958→21580,2
959→22305,292
960→31712,4
961→27445,4
962→31520,4
963→40785,4
964→33277,4
965→36705,30
966→20660,2
967→23678,4
968→38002,2
969→21913,2
970→32538,2
971→36198,30
972→38230,2
973→30861,2
974→26138,2
975→38654,4
976→30439,36
977→35977,14
978→24039,14
979→38466,8
980→20499,4
981→33248,4
982→34851,2
983→22934,4
984→39540,10
985→38492,4
986→31349,2
987→37882,2
